City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
107,Toyota,JP,87.62,few clouds,35.0833,137.15,Meitetsu Toyota Hotel
110,Pasighat,IN,87.28,few clouds,28.0667,95.3333,Siang Guest House
111,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
112,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
117,Mae Sai,TH,83.44,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
125,Qui Nhon,VN,80.11,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
126,Arawa,PG,83.48,light rain,-6.2132,155.5367,Coastline Guest House
132,Hasaki,JP,79.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
133,Sinnamary,GF,79.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
135,La Reforma,MX,85.14,clear sky,25.0833,-108.05,Hotel Reforma
136,Tura,IN,84.74,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
139,Manadhoo,MV,82.31,overcast clouds,5.7667,73.3833,Vevu Guesthouse
141,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
143,Port Keats,AU,86.7,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
144,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
145,Bengkulu,ID,83.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
