City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
269,Tual,-5.6667,132.75,80.44,82,49,17.87,ID,scattered clouds
270,Krasnoselkup,65.7,82.4667,35.13,73,8,14.32,RU,clear sky
271,San Jose,37.3394,-121.895,75.7,65,90,10.36,US,smoke
272,Lorengau,-2.0226,147.2712,85.33,67,92,10.98,PG,overcast clouds
273,Hermiston,45.8404,-119.2895,74.1,48,1,3.44,US,clear sky
274,Puerto Escondido,15.85,-97.0667,80.17,85,100,3.6,MX,overcast clouds
275,Marsh Harbour,26.5412,-77.0636,83.21,68,20,2.71,BS,few clouds
276,Shetpe,44.1667,52.1167,55.47,83,63,11.95,KZ,broken clouds
277,Luderitz,-26.6481,15.1594,58.41,66,30,9.57,NA,scattered clouds
278,San-Pedro,4.7485,-6.6363,74.86,95,93,5.5,CI,overcast clouds
279,Moerai,-22.4333,-151.3333,72.41,61,26,4.16,PF,scattered clouds
280,Bratsk,56.1325,101.6142,39.69,85,96,4.99,RU,overcast clouds
281,Ladario,-19.0047,-57.6017,81.5,38,6,5.68,BR,clear sky
282,Taltal,-25.4,-70.4833,58.14,77,10,4.45,CL,clear sky
283,Itupiranga,-5.1347,-49.3267,76.33,71,4,3.62,BR,clear sky
284,Ahipara,-35.1667,173.1667,60.58,69,6,8.99,NZ,clear sky
285,Gboko,7.3179,8.9951,71.11,96,81,5.21,NG,broken clouds
286,Naron,43.5167,-8.1528,63.03,90,15,4.97,ES,few clouds
287,Los Llanos De Aridane,28.6585,-17.9182,66.13,73,0,9.22,ES,clear sky
288,Moctezuma,29.8,-109.6667,76.64,60,96,0.25,MX,overcast clouds
289,Ulu-Telyak,54.9086,56.9669,46.98,53,100,5.68,RU,light rain
290,Oda,35.1833,132.5,77.77,61,58,9.75,JP,broken clouds
291,Rio Grande,-32.035,-52.0986,57.11,95,36,9.71,BR,scattered clouds
292,Choya,52.0108,86.5467,40.64,71,100,2.59,RU,overcast clouds
293,Paciran,-6.8767,112.3761,86.22,62,58,8.43,ID,broken clouds
294,Hongjiang,27.11,109.9956,89.46,54,0,7.67,CN,clear sky
295,Suleja,9.1758,7.1808,70.93,96,70,2.26,NG,light rain
296,San Patricio,28.017,-97.5169,78.82,58,67,6.98,US,broken clouds
297,Clyde River,70.4692,-68.5914,27.25,69,24,4.25,CA,few clouds
298,Basse-Pointe,14.8695,-61.115,79.84,64,11,8.84,MQ,few clouds
299,Vila Do Maio,15.1333,-23.2167,77.79,74,61,10.63,CV,broken clouds
300,Mareeba,-17.0,145.4333,81.32,36,24,8.21,AU,few clouds
301,Nabire,-3.3667,135.4833,86.22,62,70,5.66,ID,broken clouds
302,Linxi,39.7,118.4333,71.28,70,83,7.81,CN,broken clouds
303,Lata,40.1629,-8.3327,62.08,92,100,4.38,PT,overcast clouds
304,Yatou,37.15,122.3833,68.31,76,100,9.06,CN,overcast clouds
