City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Weligama,LK,2021-09-21 20:25:55,5.9667,80.4167,77.81,89,17,9.19
273,Coihaique,CL,2021-09-21 20:28:11,-45.5752,-72.0662,65.01,44,0,9.22
274,Quepos,CR,2021-09-21 20:28:11,9.4236,-84.1652,87.04,80,98,6.64
275,Pevek,RU,2021-09-21 20:28:11,69.7008,170.3133,25.83,86,68,7.23
276,Shelburne,CA,2021-09-21 20:28:12,44.0787,-80.2041,72.36,77,99,15.59
277,Pochutla,MX,2021-09-21 20:28:12,15.7432,-96.4661,89.82,56,100,5.88
278,Yar-Sale,RU,2021-09-21 20:28:12,66.8333,70.8333,35.19,83,100,10.07
279,Pisco,PE,2021-09-21 20:28:13,-13.7,-76.2167,68.05,68,0,18.41
280,Pacific Grove,US,2021-09-21 20:27:50,36.6177,-121.9166,102.15,46,1,7.0
281,Danshui,CN,2021-09-21 20:28:13,22.7984,114.4672,85.01,85,97,2.62
282,Clyde River,CA,2021-09-21 20:28:14,70.4692,-68.5914,30.43,93,90,0.0
283,Ambilobe,MG,2021-09-21 20:28:10,-13.2,49.05,70.61,72,26,5.48
284,Sao Gabriel Da Cachoeira,BR,2021-09-21 20:28:14,-0.1303,-67.0892,89.4,62,20,1.14
285,Grindavik,IS,2021-09-21 20:27:44,63.8424,-22.4338,42.75,81,75,28.77
286,Chambas,CU,2021-09-21 20:28:15,22.1928,-78.9136,89.22,62,58,12.68
287,Vila,PT,2021-09-21 20:28:15,42.0304,-8.1588,60.33,71,2,4.41
288,Kemijarvi,FI,2021-09-21 20:28:15,66.7131,27.4306,31.69,94,12,5.26
289,Los Corrales De Buelna,ES,2021-09-21 20:28:16,43.2636,-4.0726,64.09,99,75,1.9
290,Cabo San Lucas,MX,2021-09-21 20:25:07,22.8909,-109.9124,93.61,71,75,9.22
291,Igis,CH,2021-09-21 20:28:16,46.9453,9.5722,58.59,96,13,0.67
292,Jalu,LY,2021-09-21 20:28:16,29.0331,21.5482,90.03,16,0,8.9
